Url,Format,Duration,Bit rate ,Width,Height,Frame rate,,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss)
https://download.blender.org/demo/movies/esign_2_high.qt,mpeg4 (Advanced Simple Profile) (mp4v / 0x7634706D),4 min 1 s,2 458 kb/s,720 pixels,404 pixels,43.066 FPS,std_test_1,288.96,2.74,323%,1:30.16
,,,,,,,std_test_2,290.17,2.76,332%,1:28.21
,,,,,,,std_test_3,289.85,2.47,337%,1:26.50
,,,,,,,tcmalloc_test_1,274.37,01.07,391%,1:10.39
,,,,,,,tcmalloc_test_2,273.19,01.05,391%,1:10.03
,,,,,,,tcmalloc_test_3,273.15,01.01,391%,1:10.03
https://streams.videolan.org/samples/asf-wmv/wmapro-in-wmavoice.wmv,wmv3 (Main) (WMV3 / 0x33564D57),56 min 7 s,20.0 kb/s,1 024 pixels,768 pixels,23.98 FPS ,std_test_1,48.14,0.25,255%,0:18.91
,,,,,,,std_test_2,47.99,0.26,255%,0:18.91
,,,,,,,std_test_3,46.30,0.25,231%,0:20.10
,,,,,,,tcmalloc_test_1,48.14,0.27,251%,0:19.25
,,,,,,,tcmalloc_test_2,47.97,0.24,256%,0:18.77
,,,,,,,tcmalloc_test_3,48.29,0.24,256%,0:18.90
https://download.blender.org/demo/movies/ton_bug_1999.mpg,mpeg1video,12 s 512 ms,1 418 kb/s,320 pixels,240 pixels,23.976 FPS,std_test_1,1.77,0.05,266%,0:00.68
,,,,,,,std_test_2,1.85,0.09,279%,0:00.69
,,,,,,,std_test_3,1.78,0.04,262%,0:00.69
,,,,,,,tcmalloc_test_1,1.73,0.08,261%,0:00.69
,,,,,,,tcmalloc_test_2,1.87,0.08,273%,0:00.71
,,,,,,,tcmalloc_test_3,1.93,0.03,265%,0:00.74
https://streams.videolan.org/samples/mobileVideo_3gp/Boaz_explains_reality.3gp,h263 (s263 / 0x33363273),9 s 890 ms,62.6 kb/s,128 pixels,96 pixels,12.03 FPS,std_test_1,0.57,0.03,177%,0:00.34
,,,,,,,std_test_2,0.59,0.01,174%,0:00.35
,,,,,,,std_test_3,0.58,0.05,160%,0:00.39
,,,,,,,tcmalloc_test_1,0.97,0.06,157%,0:00.65
,,,,,,,tcmalloc_test_2,0.39,0.01,173%,0:00.23
,,,,,,,tcmalloc_test_3,0.37,0.01,178%,0:00.22
https://streams.videolan.org/samples/benchmark/testsuite1/matrixbench_mpeg2.mpg,mpeg2video (Main),3 min 7 s,384 kb/s,720 pixels,576 pixels,41.667 FPS,std_test_1,164.58,0.96,367%, 0:45.07
,,,,,,,std_test_2,165.53,0.84,379%,0:43.84
,,,,,,,std_test_3,165.92,0.75,379%,0:43.88
,,,,,,,tcmalloc_test_1,166.50,0.97,347%,0:48.24
,,,,,,,tcmalloc_test_2,166.46,0.94,380%,0:44.00
,,,,,,,tcmalloc_test_3,166.24,0.86,380%,0:43.96
http://download.opencontent.netflix.com.s3.amazonaws.com/Meridian/Meridian_UHD4k5994_HDR_P3PQ.mp4,h264 (High) (avc1 / 0x31637661),11 min 58 s,9 462 kb/s,3 840 pixels,2 160 pixels,59.940 FPS,std_test_1,18754.75,23.03,389%,1:20:15
,,,,,,,std_test_2,18613.46,22.01,389%,1:19:39
,,,,,,,std_test_3,18832.92,54.51,362%,1:26:52
,,,,,,,tcmalloc_test_1,18634.17,21.66,387%,1:20:11
,,,,,,,tcmalloc_test_2,18524.93,20.22,388%,1:19:28
,,,,,,,tcmalloc_test_3,18383.74,20.06,390%,1:18:38
https://streams.videolan.org/samples/asf-wmv/demux-asf-assert-failed.wmv,msmpeg4v3 (MP43 / 0x3334504D),5 min 46 s,64.0 kb/s,320 pixels,240 pixels,15.000 FPS,std_test_1,39.96,0.34,303%,0:13.29
,,,,,,,std_test_2,39.97,0.30,302%,0:13.30
,,,,,,,std_test_3,39.90,0.34,301%,0:13.34
,,,,,,,tcmalloc_test_1,39.88,0.37,299%,0:13.44
,,,,,,,tcmalloc_test_2,39.85,0.33,303%,0:13.24
,,,,,,,tcmalloc_test_3,40.61,0.28,300%,0:13.62
